iter	RMSE
125	109296.132
126	109157.3053
127	109048.6219
128	108949.8356
129	108849.6958
130	108721.2622
131	108597.0665
132	108475.5105
133	108317.7202
134	108148.8982
135	108041.3794
136	107925.4915
137	107806.1066
138	107692.7096
139	107568.3663
140	107467.6621
141	107353.5555
142	107264.0206
143	107156.5553
144	107010.2815
145	106927.2408
146	106779.915
147	106641.5917
148	106546.5191
149	106426.0394
150	106346.5132
151	106238.6662
152	106104.6335
153	105973.4251
154	105877.4506
155	105793.0824
156	105678.9903
157	105580.6955
158	105484.0306
159	105409.5297
160	105318.0973
161	105230.7404
162	105122.6367
163	105038.0904
164	104956.4381
165	104864.1561
166	104795.4357
167	104665.3464
168	104536.8782
169	104449.4956
170	104372.3051
171	104263.0887
172	104202.3033
173	104110.967
174	104022.4069
175	103936.5853
176	103856.5802
177	103789.0468
178	103716.9494
179	103627.8392
180	103517.1647
181	103445.9466
182	103371.5272
183	103295.3905
184	103217.2885
185	103143.765
186	103078.028
187	102983.3924
188	102915.2833
189	102799.9623
190	102717.749
191	102654.3857
192	102524.976
193	102466.5133
194	102408.2889
195	102296.3058
196	102223.9863
197	102128.8499
198	102066.3769
199	102002.1343
200	101935.8331
201	101869.5218
202	101788.2938
203	101682.9521
204	101606.2863
205	101536.9629
206	101447.8914
207	101340.6392
208	101210.7444
209	101136.4516
210	101062.4376
211	100965.4002
212	100898.0449
213	100839.6733
214	100773.0647
215	100704.3286
216	100647.0712
217	100551.1853
218	100469.899
219	100388.9027
220	100302.4225
221	100244.4872
222	100148.1451
223	100078.9777
224	100013.7199
225	99952.78748
226	99863.26621
227	99750.05244
228	99672.94549
229	99619.96531
230	99557.62993
231	99509.38161
232	99428.46061
233	99358.89773
234	99274.79953
235	99198.38412
236	99141.38748
237	99092.58138
238	99017.29759
239	98973.72133
240	98878.9433
241	98807.18608
242	98748.01488
243	98684.49492
244	98616.22344
245	98545.49237
246	98498.87208
247	98450.34427
248	98371.96227
249	98300.19711
250	98261.66161
251	98182.04598
252	98126.05638
253	98072.80286
254	98021.11088
255	97971.80759
256	97888.55931
257	97843.89026
258	97781.39787
259	97713.74889
260	97660.73622
261	97614.31262
262	97575.00211
263	97510.05687
264	97475.69389
265	97437.57828
266	97397.10968
267	97345.23666
268	97239.8509
269	97180.27435
270	97105.62487
271	97057.54527
272	96997.15981
273	96951.83413
274	96911.9048
275	96872.16691
276	96805.33536
277	96742.23406
278	96700.17824
279	96652.45857
280	96614.27549
281	96580.45446
282	96529.76306
283	96481.37515
284	96444.30097
285	96402.50256
286	96353.89698
287	96305.16277
288	96267.41777
289	96230.82411
290	96204.35
291	96111.31013
292	96069.90459
293	96036.71446
294	95992.67598
295	95954.60972
296	95905.38006
297	95849.91073
298	95812.50298
299	95776.45729
300	95717.3666
301	95679.21525
302	95642.58856
303	95602.95897
304	95565.88609
305	95522.95038
306	95481.34121
307	95444.91251
308	95376.73428
309	95335.84877
310	95279.04963
311	95236.25015
312	95200.48706
313	95162.64104
314	95094.35604
315	95063.14921
316	95024.99644
317	94984.9759
318	94910.9973
319	94862.24633
320	94828.99172
321	94792.18426
322	94744.6926
323	94718.03304
324	94661.98052
325	94628.03958
326	94601.27528
327	94522.30545
328	94458.13181
329	94433.13221
330	94391.72284
331	94335.33213
332	94295.37529
333	94230.57079
334	94196.33006
335	94122.37434
336	94094.77563
337	94064.55671
338	94010.34802
339	93974.94841
340	93927.81058
341	93895.20655
342	93821.96154
343	93774.38607
344	93742.88254
345	93698.85664
346	93674.6621
347	93626.79775
348	93605.36874
349	93575.55538
350	93531.76312
351	93506.44403
352	93477.76706
353	93363.15602
354	93341.89535
355	93289.72567
356	93242.17388
357	93202.50273
358	93162.04008
359	93116.7948
360	93095.91146
361	93080.10484
362	93044.69921
363	93024.32501
364	92941.16678
365	92856.71949
366	92827.82004
367	92769.80037
368	92724.17178
369	92678.58459
370	92663.30907
371	92635.87892
372	92609.23521
373	92578.45931
374	92531.37961
375	92507.38213
376	92464.21334
377	92443.18463
378	92355.37223
379	92316.65922
380	92292.90774
381	92193.63829
382	92137.15791
383	92111.64583
384	92094.85063
385	92062.71211
386	92040.30851
387	92014.92104
388	91977.21741
389	91944.10699
390	91920.68702
391	91905.40506
392	91876.23105
393	91848.76357
394	91811.49775
395	91752.5474
396	91732.79357
397	91692.04422
398	91665.69903
399	91636.8978
400	91616.4861
